A,B,C,D,E,F
0,40,10,132.35,-15.5247,-3.87075
8,80.54,6,84.18,-81.3146,-27.9988
33,205.13,6,84.52,55.2519,76.0476
10,90.27,28,348.19,36.0517,8.32318
39,235.25,34,420.35,-3.77355,-3.28029
8,80.44,19,240.07,54.5022,19.8372
0,40.43,32,396.23,6.18581,17.9648
23,155.09,35,432.06,-35.5081,-72.8023
8,80.27,19,240.25,-31.9241,-60.0404
36,220.09,37,456.28,42.2839,45.3439
39,234.99,12,156.55,-5.73407,-4.01503
25,165.5,16,204.54,26.2895,16.4275
15,115.51,32,396.39,34.8083,3.65849
32,200.32,33,408,-52.2805,-20.0686
0,39.97,10,132.55,-72.8049,-25.0687
2,49.99,7,96.11,-27.7913,-3.41234
24,160.14,17,216.29,-15.4357,-30.2942
32,200.19,15,192.21,19.6597,13.7658
27,175.05,38,468.38,81.9726,41.7671
39,235.29,34,419.98,40.9235,9.44794
5,65.54,32,396.49,69.7101,58.4936
24,160.05,34,420.38,4.88085,10.9625
22,150.21,23,288.14,-18.2709,-8.13473
19,135.25,0,12.54,20.8435,2.55925
11,95.17,16,204.03,-34.6794,-47.732
16,120.35,16,204.45,28.3199,12.6088
25,165.44,39,480.17,-30.8678,-72.7199
1,45.12,16,204.33,-20.9485,-73.0559
27,175.32,37,456.04,-67.1752,-67.1751
11,95.53,30,372.25,1.98054,0.278346
19,135.47,21,264.52,97.7812,15.487
26,170.53,4,60.23,-23.7806,-21.4122
10,90.18,12,156.15,15.8709,6.09225
27,175.34,23,288.13,-38.5162,-51.1126
6,70.05,5,72.45,15.5247,3.87075
3,55.12,10,132.34,-81.2457,-54.8009
1,44.97,17,216.34,73.9616,64.2937
14,110.25,27,336.55,26.8846,82.7419
6,70.51,26,324.47,2.97764,0.365608
18,130.18,30,372.52,20.4661,66.9413
35,215.3,25,312.42,30.7831,39.4005
6,70.21,0,12.2,33.1414,65.0434
29,184.97,7,96.26,16.8044,6.45062
26,170.54,0,12.09,-79.7694,-14.0655
34,210.34,37,456.34,-4.1145,-5.66312
27,175.25,12,156.1,-89.2708,-32.4919
32,200.08,11,144.49,-51.2917,-41.5351
31,195.13,36,444.27,-30.3109,-17.5
16,120.48,24,300.45,74.2701,10.438
24,160.38,32,396.18,-52.7086,-62.8156
20,140.55,5,72.41,70.7298,6.18805
11,95.4,21,264.51,-20.1281,-13.0713
31,195.56,24,300.04,-45.8385,-22.3569
14,110.42,4,60.55,84.9597,37.8265
33,205.54,20,252.23,-67.2883,-19.2946
31,195.19,29,360.46,31.1468,23.4708
31,195.07,35,432.42,50.328,26.7599
13,105.25,34,420.06,-34.8385,-86.2281
30,189.99,28,348.51,30.2566,10.4182
5,65.43,23,288.34,85.8894,32.9698
0,40.32,8,108.26,81.4126,50.8722
13,105.25,10,131.98,6.10314,11.4783
16,120.55,27,336.08,12.6972,36.8752
14,109.98,8,108.52,52.3081,16.9959
1,45.09,11,144.01,-10.3366,-3.76222
30,190.47,10,132.28,-30.2477,-62.0168
18,130.02,27,336.17,57.5677,7.06842
19,135.31,2,36.23,-41.9395,-62.1778
33,205.49,22,276.3,-32.0011,-65.6119
38,230.45,1,24.46,-14.2561,-7.26384
4,60.52,12,156.24,28.9488,35.7487
6,70.13,1,24.22,-67.1484,-48.7861
37,225.05,5,72.48,42.2433,20.6034
12,99.97,23,288.03,44.3299,47.538
35,215.41,22,276.05,21.162,61.4587
30,190.47,13,168.4,66.3271,19.019
39,235.44,28,348.09,16.0689,49.4549
23,155.18,25,311.97,31.7615,3.89982
3,55.33,24,300.43,-39.5559,-42.4185
20,140.14,18,228.19,-74.2701,-10.438
29,185.52,25,311.99,-85.0967,-29.3011
26,170.18,33,408.11,44.3163,7.81416
3,55.37,38,468.37,-64.713,-45.3125
25,165.01,18,228.06,26.625,57.0974
23,155.2,9,120.38,23.9142,29.5315
17,125.16,34,420.19,47.8986,79.7165
29,185.36,38,468.39,-14.3078,-22.8973
0,40.05,24,300.15,-49.8855,-10.6035
1,45.11,13,168.56,88.6901,34.0449
0,40.08,32,396.38,-6.55322,-4.58861
28,180.26,9,120.51,-27.9773,-22.6555
